Game_Number,Result,Turns
1,win,61
2,win,63
3,win,57
4,win,41
5,win,29
6,win,39
7,win,29
8,win,69
9,win,21
10,win,49
11,win,73
12,win,33
13,win,25
14,win,37
15,win,55
16,win,31
17,lose,268
18,win,51
19,lose,526
20,win,35
21,win,47
22,win,43
23,win,31
24,win,47
25,win,59
26,win,39
27,win,59
28,win,43
29,win,25
30,lose,500
31,win,79
32,win,25
33,win,65
34,win,51
35,win,27
36,win,39
37,win,33
38,win,31
39,win,37
40,win,41
41,win,93
42,win,61
43,win,35
44,win,37
45,win,49
46,win,47
47,win,41
48,win,31
49,win,47
50,win,39
51,win,29
52,win,33
53,win,47
54,win,35
55,win,31
56,win,41
57,win,59
58,win,79
59,win,49
60,win,67
61,win,65
62,win,47
63,win,51
64,win,49
65,win,99
66,win,65
67,win,55
68,win,55
69,win,37
70,win,27
71,win,65
72,win,35
73,win,27
74,win,31
75,win,41
76,win,35
77,win,29
78,win,27
79,win,35
80,win,67
81,win,109
82,win,51
83,win,19
84,win,39
85,win,43
86,win,61
87,win,23
88,win,65
89,win,49
90,win,25
91,win,45
92,win,55
93,win,35
94,win,31
95,win,53
96,win,61
97,win,17
98,win,57
99,win,57
100,win,57
